15:00:05.626 [main] INFO  n.j.business.ManagmentServiceImpl - [checkStudent] - FIN MÉTODO
15:00:05.626 [main] INFO  nttdata.javat3.T3MainFMR - [main] - FIN CASO 4
15:00:06.064 [main] INFO  nttdata.javat3.T3MainFMR - [main] - ENTRADA CASO 4
15:00:07.658 [main] INFO  n.j.business.ManagmentServiceImpl - [checkStudent] - ENTRADA MÉTODO
15:00:07.658 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
15:00:07.658 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
15:00:07.658 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
15:00:07.659 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
15:00:07.659 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
15:00:07.659 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
15:00:07.659 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
15:00:07.659 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
15:00:07.659 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
15:00:07.659 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
15:00:07.659 [main] INFO  n.j.business.ManagmentServiceImpl - [checkStudent] - FIN MÉTODO
15:00:07.659 [main] INFO  nttdata.javat3.T3MainFMR - [main] - FIN CASO 4
15:00:08.097 [main] INFO  nttdata.javat3.T3MainFMR - [main] - ENTRADA CASO 5
15:00:09.627 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - ENTRADA MÉTODO
15:00:09.627 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
15:00:09.627 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
15:00:09.627 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
15:00:09.627 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
15:00:09.627 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
15:00:09.627 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
15:00:09.627 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - Existe la persona
15:00:09.627 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - FIN MÉTODO
15:00:09.627 [main] INFO  nttdata.javat3.T3MainFMR - [main] - FIN CASO 5
15:00:10.069 [main] INFO  nttdata.javat3.T3MainFMR - [main] - ENTRADA CASO 5
15:00:11.629 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - ENTRADA MÉTODO
15:00:11.629 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
15:00:11.629 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
15:00:11.629 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
15:00:11.630 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
15:00:11.630 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
15:00:11.630 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
15:00:11.630 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - FIN MÉTODO
15:00:11.630 [main] INFO  nttdata.javat3.T3MainFMR - [main] - FIN CASO 5
15:00:12.066 [main] INFO  nttdata.javat3.T3MainFMR - [main] - ENTRADA CASO 5
15:01:32.074 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - ENTRADA MÉTODO
15:01:32.074 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
15:01:32.074 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
15:01:32.074 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
15:01:32.075 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
